taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
8313153	Quercus palustris Münchh.	8313153	Quercus palustris Münchh.	150429	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus palustris	8313153	LC
8139193	Quercus gambelii Liebm.	2878266	Quercus douglasii Hook. & Arn.	62	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus douglasii	2878266	
2878595	Quercus nectandrifolia Liebm.	2878358	Quercus elliptica Née	7	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus elliptica	2878358	
2879090	Quercus saltillensis Trel.	2879090	Quercus saltillensis Trel.	277	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus saltillensis	2879090	NT
2879488	Quercus sinuata Walter	2879488	Quercus sinuata Walter	1093	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus sinuata	2879488	LC
2881004	Quercus × humidicola E.J.Palmer	2881004	Quercus × humidicola E.J.Palmer	24	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus humidicola	2881004	
2879659	Quercus serrata var. donarium (Nakai) Kitam. & T.Horik.	2879653	Quercus × urticifolia Blume	232	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus urticifolia	2879653	
2878517	Quercus × corcyrensis A.Camus	7274384	Quercus kerneri nothosubsp. kerneri	12	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus kerneri	2878507	
2878952	Quercus salicifolia Née	2878952	Quercus salicifolia Née	786	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus salicifolia	2878952	LC
2879574	Quercus mexicana Bonpl.	2879574	Quercus mexicana Bonpl.	1750	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus mexicana	2879574	LC
2880014	Quercus × salcedoi C.Vicioso	2880014	Quercus × salcedoi C.Vicioso	37	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus salcedoi	2880014	
2880992	Quercus subsericea A.Camus	2880992	Quercus subsericea A.Camus	212	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus subsericea	2880992	NT
2880784	Quercus blakei Skan	2880784	Quercus blakei Skan	125	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus blakei	2880784	LC
7226619	Quercus pubescens subsp. pubescens	7226619	Quercus pubescens subsp. pubescens	19376	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus pubescens	2881283	
2878128	Quercus shrevei C.H.Mull.	2878127	Quercus parvula var. shrevei (C.H.Mull.) Nixon	5	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus parvula	2878124	
2878304	Quercus macrocalyx Hickel & A.Camus	2878304	Quercus macrocalyx Hickel & A.Camus	93	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus macrocalyx	2878304	LC
2880289	Quercus petraea subsp. iberica (Steven ex M.Bieb.) Krassiln.	9601356	Quercus petraea subsp. polycarpa (Schur) Soó	581	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus petraea	2880130	
2876791	Quercus × pallida Heuff.	2878294	Quercus × tabajdiana Simonk.	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus tabajdiana	2878294	
2879712	Quercus brantii Lindl.	2879712	Quercus brantii Lindl.	310	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus brantii	2879712	LC
2880500	Quercus × rehderi Trel.	2880500	Quercus × rehderi Trel.	80	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus rehderi	2880500	
2879078	Quercus prinopsis Trel.	2879073	Quercus laeta Liebm.	24	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus laeta	2879073	
2880897	Quercus × auzandrii Gren. & Godr.	2880897	Quercus × auzandrii Gren. & Godr.	490	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus auzandrii	2880897	
2879030	Quercus benthamii A.DC.	2879030	Quercus benthamii A.DC.	1289	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus benthamii	2879030	NT
2880449	Quercus baronii Skan	2880449	Quercus baronii Skan	801	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus baronii	2880449	LC
2880966	Quercus eugeniifolia Liebm.	2878665	Quercus seemannii Liebm.	317	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus seemannii	2878665	
2880536	Quercus cordifolia Trel.	2880535	Quercus striatula Trel.	58	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus striatula	2880535	
2878224	Quercus macrocarpa var. depressa (Nutt.) Engelm.	2878224	Quercus macrocarpa var. depressa (Nutt.) Engelm.	19	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus macrocarpa	2878213	
