"","LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr","X"
"1","Wright","Ian",57,"Categorical Plant Traits Database","Quercus alba",45315,"Quercus alba",315980,2605265,17,"Leaf compoundness",18,"Leaf compoundness","LeafForm","simple","","","","","",NA,"",NA,NA,NA,"unpub.","","",NA
"2","Wright","Ian",57,"Categorical Plant Traits Database","Quercus macrocarpa",45424,"Quercus macrocarpa",316052,2605409,17,"Leaf compoundness",18,"Leaf compoundness","LeafForm","simple","","","","","",NA,"",NA,NA,NA,"unpub.","","",NA
"3","Wright","Ian",57,"Categorical Plant Traits Database","Quercus rubra",45473,"Quercus rubra",316097,2605499,17,"Leaf compoundness",18,"Leaf compoundness","LeafForm","simple","","","","","",NA,"",NA,NA,NA,"unpub.","","",NA
"4","Wright","Ian",57,"Categorical Plant Traits Database","Quercus velutina",45501,"Quercus velutina",316118,2605541,17,"Leaf compoundness",18,"Leaf compoundness","LeafForm","simple","","","","","",NA,"",NA,NA,NA,"unpub.","","",NA
"5","Medlyn","Belinda",12,"ECOCRAFT","Quercus rubra",45473,"Quercus rubra",932884,5407283,NA,"",61,"Altitude","Elevation","80","m","","","","",80,"m",NA,NA,NA,"Medlyn, B. E., F.-W. Badeck, D. G. G. De Pury, C. V. M. Barton, M. Broadmeadow, R. Ceulemans, P. De Angelis, M. Forstreuter, M. E. Jach, S. Kellomäki, E. Laitat, M. Marek, S. Philippot, A. Rey, J. Strassemeyer, K. Laitinen, R. Liozon, B. Portier, P. Roberntz, K. Wang, and P. G. Jarvis. 1999. Effects of elevated CO2 on photosynthesis in European forest species: a meta-analysis of model parameters. Plant, Cell and Environment 22:1475-1495.","","",NA
"6","Anand","Madhur",100,"Plant Traits in Pollution Gradients Database","Quercus rubra",45473,"Quercus rubra",1034603,6279122,NA,"",61,"Altitude","Elevation  (m)","290","m","Single","","","",290,"m",NA,NA,NA,"unpub.","estimated from map","",NA
"7","Anand","Madhur",100,"Plant Traits in Pollution Gradients Database","Quercus rubra",45473,"Quercus rubra",1287530,8526176,NA,"",61,"Altitude","Elevation  (m)","225","m","Single","","","",225,"m",NA,NA,NA,"unpub.","estimated from map","",NA
"8","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus rubra",45473,"Quercus rubra",1288587,8569007,NA,"",61,"Altitude","altitude","100","m","Single","","","",100,"m",NA,NA,NA,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.","","",NA
"9","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus rubra",45473,"Quercus rubra",1288958,8610040,NA,"",61,"Altitude","altitude","217","m","Single","","","",217,"m",NA,NA,NA,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.","","",NA
"10","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus ellipsoidalis",45367,"Quercus ellipsoidalis",1289953,8721451,17,"Leaf compoundness",18,"Leaf compoundness","LfForm","S","","Single","","","",NA,"",NA,NA,NA,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.","simple/compound","",NA
"11","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus rubra",45473,"Quercus rubra",1289976,8724177,NA,"",61,"Altitude","altitude","167","m","Single","","","",167,"m",NA,NA,NA,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.","","",NA
"12","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus macrocarpa",45424,"Quercus macrocarpa",1289977,8724281,17,"Leaf compoundness",18,"Leaf compoundness","LfForm","S","","Single","","","",NA,"",NA,NA,NA,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.","simple/compound","",NA
"13","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus macrocarpa",45424,"Quercus macrocarpa",1290206,8749782,NA,"",61,"Altitude","altitude","300","m","Single","","","",300,"m",NA,NA,NA,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.","","",NA
"14","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Quercus rubra",45473,"Quercus rubra",1290352,8766276,17,"Leaf compoundness",18,"Leaf compoundness","LfForm","S","","Single","","","",NA,"",NA,NA,NA,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.","simple/compound","",NA
"15","Moles","Angela",28,"Global Seed Mass, Plant Height Database","Quercus macrocarpa",45424,"Quercus macrocarpa",1298969,8905355,NA,"",61,"Altitude","altitude","200","m","Single","","","",200,"m",NA,NA,NA,"Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.","","",NA
"16","Jackson","Robert",240,"Nutrient Resorption Efficiency Database","Quercus rubra",45473,"Quercus rubra",1674700,11598134,NA,"",61,"Altitude","Elevation","330","m","Single","","","",330,"m",NA,NA,NA,"Vergutz, L., S. Manzoni, A. Porporato, R.F. Novais, and R.B. Jackson. 2012. A Global Database of Carbon and Nutrient Concentrations of Green and Senesced Leaves. Data set. Available on-line [http://daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A. http://dx.doi.org/10.3334/ORNLDAAC/1106","","",NA
"17","Jansen","Steven",241,"Xylem Functional Traits (XFT) Database","Quercus alba",45315,"Quercus alba",1727794,12584987,NA,"",61,"Altitude","ELEVbest","150","m","Single","","","",150,"m",NA,NA,NA,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688","Elevation given in source publication; where not given, elevation from DEM embedded in either Wordclim (WC) or CRU climate grid","",NA
"18","Jansen","Steven",241,"Xylem Functional Traits (XFT) Database","Quercus alba",45315,"Quercus alba",1727795,12585081,NA,"",61,"Altitude","ELEVbest","150","m","Single","","","",150,"m",NA,NA,NA,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688","Elevation given in source publication; where not given, elevation from DEM embedded in either Wordclim (WC) or CRU climate grid","",NA
"19","Jansen","Steven",241,"Xylem Functional Traits (XFT) Database","Quercus rubra",45473,"Quercus rubra",1727841,12589624,NA,"",61,"Altitude","ELEVbest","150","m","Single","","","",150,"m",NA,NA,NA,"Brendan Choat, Steven Jansen, Tim J. Brodribb, Herve Cochard, Sylvain Delzon, Radika Bhaskar, Sandra J. Bucci, Taylor S. Feild, Sean M. Gleason, Uwe G. Hacke, Anna L. Jacobsen, Frederic Lens, Hafiz Maherali, Jordi Martinez-Vilalta, Stefan Mayr, Maurizio Mencuccini, Patrick J. Mitchell, Andrea Nardini, Jarmila Pittermann, R. Brandon Pratt, John S. Sperry, Mark Westoby, Ian J. Wright & Amy E. Zanne (2012) Global convergence in the vulnerability of forests to drought. Nature 491:752-755 doi:10.1038/nature11688","Elevation given in source publication; where not given, elevation from DEM embedded in either Wordclim (WC) or CRU climate grid","",NA
"20","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Quercus bicolor",45326,"Quercus bicolor",1824030,14806577,3106,"Plant height vegetative",3646,"Maximum height min","MaximumHeightMinM","18","m","Single","","","",18,"m",NA,NA,1.01091,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","x","",NA
"21","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Quercus bicolor",45326,"Quercus bicolor",1824030,14806578,3106,"Plant height vegetative",3647,"Maximum height max","MaximumHeightMaxM","23","m","Single","","","",23,"m",NA,NA,0.884843,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","x","",NA
"22","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Quercus bicolor",45326,"Quercus bicolor",1824030,14806579,3106,"Plant height vegetative",3648,"Maximum height extreme","MaximumHeightExtremeM","30","m","Single","","","",30,"m",NA,NA,0.535506,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","x","",NA
"23","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Quercus bicolor",45326,"Quercus bicolor",1824031,14806582,3106,"Plant height vegetative",3646,"Maximum height min","MaximumHeightMinM","15","m","Single","","","",15,"m",NA,NA,0.904247,"Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","x","",NA
